Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
1,1,1,1,8/25/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,9,Win,Win,33,120,120-129,3,10,Cup Win,NO,Win
2,1,1,1,8/25/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,6,Lose,Lose,27,95,090-099,1,6,Cup Lose,NO,Lose
3,1,1,2,8/25/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Win,33,120,120-129,3,10,Cup Win,NO,Win
4,1,1,2,8/25/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Lose,Lose,27,95,090-099,1,6,Cup Lose,NO,Lose
5,1,1,3,8/25/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,6,Lose,Win,33,120,120-129,3,10,Cup Win,NO,Win
6,1,1,3,8/25/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,9,Win,Lose,27,95,090-099,1,6,Cup Lose,NO,Lose
7,1,1,4,8/25/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,9,Win,Win,33,120,120-129,3,10,Cup Win,NO,Win
8,1,1,4,8/25/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,6,Lose,Lose,27,95,090-099,1,6,Cup Lose,NO,Lose
9,1,2,5,8/25/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,6,Lose,Lose,27,120,120-129,3,10,Cup Win,NO,Win
10,1,2,5,8/25/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,9,Win,Win,28,95,090-099,1,6,Cup Lose,NO,Lose
11,1,2,6,8/25/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,6,Lose,Lose,27,120,120-129,3,10,Cup Win,NO,Win
12,1,2,6,8/25/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Win,28,95,090-099,1,6,Cup Lose,NO,Lose
13,1,2,7,8/25/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,6,Lose,Lose,27,120,120-129,3,10,Cup Win,NO,Win
14,1,2,7,8/25/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Win,28,95,090-099,1,6,Cup Lose,NO,Lose
15,1,2,8,8/25/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Lose,27,120,120-129,3,10,Cup Win,NO,Win
16,1,2,8,8/25/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,1,Lose,Win,28,95,090-099,1,6,Cup Lose,NO,Lose
17,1,3,9,8/25/13,Extra,3 Star Cup,9 Wario Stadium,Mario,6,Win,Win,30,120,120-129,3,10,Cup Win,YES,Win
18,1,3,9,8/25/13,Extra,3 Star Cup,9 Wario Stadium,Peter,3,Lose,Lose,16,95,090-099,1,6,Cup Lose,YES,Lose
19,1,3,10,8/25/13,Extra,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Win,30,120,120-129,3,10,Cup Win,NO,Win
20,1,3,10,8/25/13,Extra,3 Star Cup,10 Sherbert Land,Peter,9,Win,Lose,16,95,090-099,1,6,Cup Lose,NO,Lose
21,1,3,11,8/25/13,Extra,3 Star Cup,11 Royal Raceway,Mario,9,Win,Win,30,120,120-129,3,10,Cup Win,NO,Win
22,1,3,11,8/25/13,Extra,3 Star Cup,11 Royal Raceway,Peter,3,Lose,Lose,16,95,090-099,1,6,Cup Lose,NO,Lose
23,1,3,12,8/25/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Win,30,120,120-129,3,10,Cup Win,NO,Win
24,1,3,12,8/25/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,1,Lose,Lose,16,95,090-099,1,6,Cup Lose,NO,Lose
25,1,4,13,8/25/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,30,120,120-129,3,10,Cup Win,NO,Win
26,1,4,13,8/25/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,24,95,090-099,1,6,Cup Lose,NO,Lose
